reviewerName,stars,reviewLink,reviewMeta,body
Kindle Customer,5.0,https://www.amazon.com//gp/customer-reviews/R3T0N0RPKHPMLV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09XS7JWHH,Reviewed in the United States on February 29 2024,Love these headphones! Noise canceling. Knows to turn down music if someone is talking to me. Comfortable and easy to use. Fast charging.
The Traveler,5.0,https://www.amazon.com//gp/customer-reviews/R2816ZMJSD17A6/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09XS7JWHH,Reviewed in the United States on February 28 2024,They block out quite a bit of noise and the sound is excellent. Very comfortable over the ears. As past reviews have said they wish they could have been a little more easier to store in a better case. The case is designed wrong.
Danny,5.0,https://www.amazon.com//gp/customer-reviews/R2CA7CSA3FTB4K/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09XS7JWHH,Reviewed in the United States on February 20 2024,I tried countless headsets and this one is by far the best sounding and best noise cancelation and the battery life is amazing as well. I highly recommend.
Filip,5.0,https://www.amazon.com//gp/customer-reviews/R3MCODSAB5CO61/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09XS7JWHH,Reviewed in the United States on February 20 2024,"This is the 3rd pair of expensive over-the-ear headphones I ever owned and you can just feel the generational difference between those. This is next level in every possible sense. Pairs seamlessly, plays well, and blocks out noise fantastically! Also, dark blue looks phenomenal in daylight!"
Jo,Verified,https://www.amazon.com/null,Reviewed in Singapore on September 27 2023,"Took quite a while for my headphone to be delivered. Great product, the earphones are really great! Sounds system is fantastic.
Bought during prime sale."
S,Verified,https://www.amazon.com/null,Reviewed in Singapore on August 2 2023,Good in average
Vijay Tenneti,Verified,https://www.amazon.com/null,Reviewed in Australia on May 2 2023,"Loads of reviews talking up the sound quality - but for an audiophile the sound is absolutely atrocious. I don't really care a jot about the other so called 'features' - the sound is horribly muddy. Any amount of fiddling with the equalizer doesn't fix the problem - just produces different flavours of muddy.
If you want crystal clear sound, just go with Bose.

Edit: After a whole weekend of fiddling with the equalizer settings, both using the Sony Headphone app and additional tweaking on the Equalizer settings on the Spotify app, I've got it to sound pretty good.
But it shouldn't be so hard."
CJones,Verified,https://www.amazon.com/null,Reviewed in Australia on March 9 2023,By far the best Noise Cancelling Headphones I've ever had.
trinadrew,Verified,https://www.amazon.com/null,Reviewed in Australia on February 5 2023,""
Hui Li wen,5.0,https://www.amazon.com//gp/customer-reviews/R1OG7ASIH2OLGT/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BXYCS74H,Reviewed in the United States on March 23 2024,I recently got this product for my 7 hour flight. I got this because of the great body it had of the noice cancellation and I am so glad I bought this for myself! The headphone's noise cancellation was amazing and it had great sound quality! This is a 10 out of 10 product I would recommend for long hour flights!
AKSHAY BODWADE,3.0,https://www.amazon.com//gp/customer-reviews/R346PD6S6O0F3G/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BXYCS74H,Reviewed in the United States on March 20 2024,"I recently purchased the Sony WH-1000XM5 Wireless Noise Canceling Headphones, enticed by their touted features. After spending some time with them, I must say that these headphones truly live up to the hype in terms of audio quality, comfort, and advanced functionalities.

The sound quality is exceptional, delivering crisp highs, rich mids, and deep bass that make every listening experience immersive and enjoyable. The noise-canceling feature works wonders, effectively blocking out unwanted external sounds and allowing me to focus solely on my music or calls. Additionally, the hands-free calling feature ensures that conversations are clear and uninterrupted, even in noisy environments.

However, my overall positive experience with these headphones was marred by an issue that arose upon receiving them. Despite purchasing them as new from Amazon, it became evident that the headphones had been previously paired with other devices. This resulted in setup complications with the 360 surround services and raised concerns about the authenticity of the product and Amazon's quality control processes.
It was disappointing to encounter such a setback with what should have been a brand-new product. I would advise potential buyers to exercise caution when purchasing these headphones from Amazon to ensure they receive a genuinely new and unopened product."
Customer,5.0,https://www.amazon.com//gp/customer-reviews/R1NIN03L7RP264/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BXYCS74H,Reviewed in the United States on March 18 2024,"The sound quality isn't great compared to wired high-end headphones. The earpads could be more comfortable since they feel sweaty after some use

However I love the convenience of wireless headphones and it is super lightweight. The controls are easy to learn. I'd recommend this"
D. Johnson,4.0,https://www.amazon.com//gp/customer-reviews/R6HAEDDWZFUC9/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BXYCS74H,Reviewed in the United States on March 16 2024,"Negatives:
The band is tight. I cannot imagine wearing these throughout a 4+ hour airplane flight.
But that's part of the extremely effective noise reduction.
The app's server connection was unreliable for me, and the login process far to ""secure"" with difficult capcha matches, and after each failure, one's password must be re-entered. But you don't need the app for excellent function.
Positives:
- Outstanding microphone noise cancellation. This is active all the time, whether or not ANC is on for listening.
Speaking over to phone from a coffee shop (ceiling music, arguing staff, dishes clanking, a family conversation and squalling baby 15 feet away), the listener could hear little or no background noise.
It is very, very hard to get any information on actual performance on noise-canceling mics in buds or headphones. I finally found soundboys-dot-com, who way down near the bottom of their reviews have actual recordings in standardized noisy environments.
I've slowly migrated, over 6 years, through three units:
First, an ANC open-ear headset with a boom mic that I assumed would work well because close to my mouth. My wife casually observed that I spoke very loudly when dictating, especially. I wrongly thought this because we don't hear our own voice well when our ears are covered.
Then I forgot these on the train, and bought Beats for convenience -- the band and magnetic latches in the buds make loss difficult. These surprised me by having MUCH better mic performance -- never needed to raise my voice in a quiet environment for good speech recognition.
But in noisy environments (riding in a car or airplane. sitting an an airport waiting area, cafe, etc.), they failed. With dictation, I had to cup my hand over my mouth and the mic to avoid unseemly shouting, and then quickly hold the mic in my hand to suppress the noise during my silences.
It's interesting to me that voice recognition works better with ANC off, because then I hear my own speech volume more accurately and can modulate that realistically. Yes, one does need to speak louder in a very noisy environment, or simply talk into one's hand to reflect the sound back to the mics when one wants to be private.
These Sony headphones are exactly what I need.
For me, the excellent music quality is simply the frosting on the cake.
- One can plug in a standard mini stereo plug and the phones just work.. (There are stereo to USB adapters readily available.)"
Vladlen P.,2.0,https://www.amazon.com//gp/customer-reviews/R1APDOX6WS1PMS/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BXYCS74H,Reviewed in the United States on March 16 2024,"I really liked the sound of these noise cancelling headphones. Unfortunately, the one of the hinges had a crack and fell out of the socket. The wires are still intact, but you can't wear them on the head anymore. I did a research and it turns out that it's a very common problem for this model. What 's more - this damage might not be covered under the manufacturer's warranty. Don't buy them, unless you are planning to replace them within a year or so."
SteveG,3.0,https://www.amazon.com//gp/customer-reviews/R1H0RR1FFZ3EPG/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BXYCS74H,Reviewed in the United States on March 14 2024,"Bad sound quality good anc.
But still unless you travel a lot don’t buy this. The sound quality is bad compared to others."
Rob,4.0,https://www.amazon.com//gp/customer-reviews/R1C52FHD6AWNTU/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BXYCS74H,Reviewed in the United States on March 7 2024,"I purchased these along with the Bose quiet comfort ultra over the ear headphones. After using each for two weeks I ended up choosing the Bose over the Sonys.

These Sony headphones are good and you won't be disappointed if you buy them as they perform almost as good as the Bose in my opinion.

Things that influenced my decision were appearance, comfort, sound quality, and build quality. Again Sony was good in all categories but just not as good as the Bose.

Overall I was not disappointed by these and I would recommend them as quality headphones but I ultimately returned them and kept the Bose quiet comfort ultras."
Santa Claus,1.0,https://www.amazon.com//gp/customer-reviews/R7MGMD8HL22DN/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BXYCS74H,Reviewed in the United States on March 7 2024,"I have the xm4 and xm3 versions of this headphone which I absolutely love and use hours daily. Figured I would complete the set.

The xm5 have zero noise cancelling compared to the older models. Complete deal breaker and disappointing. Took almost an entire month to get my money back. Unbelievable. Next time I will buy high dollar electronics at best buy."
Andrew,5.0,https://www.amazon.com//gp/customer-reviews/R2AQEYI8D4TXAW/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BXYCS74H,Reviewed in the United States on March 2 2024,These are the most comfortable and sound great. Battery lasts long enough as well.
Usman Aslam,3.0,https://www.amazon.com//gp/customer-reviews/R1S3CUQM9QYGOM/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BXYCS74H,Reviewed in the United States on March 1 2024,"UPDATE March 25
---------------------

Since writing this body I have been contacted by Sony and they have agreed that it was a manufacturing issue and have offered to replace the Headphones with a brand new pair.

======================

The sound quality is awesome, I cannot fault a thing. Noise cancellation is very effective. Flying with these headphones is the best experience ever. You can enjoy a movie as if watching in your living room without any noise.

I paid around $430 for these headphones 5 months ago. One day they just fell apart. One of the earpads detached from the headband during normal use. It looks it it was attached with glue and glue did not hold anymore. A picture of the damage is attached.

I contacted Sony and they refused to accept it as a quality issue. They term it as accidental damage and maintain that it is not cover under warranty. They just gave me the phone number of their contractor in Salt Lake City (I live in LA). Other than providing the phone number they could not help at all. They did not want to even listen to my argument that it was not an accidental damage but one of the joints (held with glue) just came off, so it was a manufacturing issue.

The contractor told me to ship the headphones to them at my own expense and they would charge me $90.00 just to tell me how much it would cost to repair, and then they would ship it back to me at my own expense.

I have decided to write off the loss and buy Apple Air Pods Pro. Top-notch customer service is guaranteed with Apple products, and you have Apple Stores to go to if you have an issue."
Kindle Customer,5.0,https://www.amazon.com//gp/customer-reviews/R3T0N0RPKHPMLV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BXYCS74H,Reviewed in the United States on February 29 2024,Love these headphones! Noise canceling. Knows to turn down music if someone is talking to me. Comfortable and easy to use. Fast charging.
paul,2.0,https://www.amazon.com//gp/customer-reviews/R3SN55KOTO5ZJF/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BXYCS74H,Reviewed in the United States on February 25 2024,"Sounds great, but sent them right back. They feel so much cheaper in material. Loved the previous two models, but these just feel really cheap"
Percy Womack,5.0,https://www.amazon.com//gp/customer-reviews/R1DP7HACQ3MS0B/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BXYCS74H,Reviewed in the United States on February 21 2024,"Love this blue tooth headset, sound comes though Chrystal clear makes my work fun.
A must have, SONY the only way to go."
Danny,5.0,https://www.amazon.com//gp/customer-reviews/R2CA7CSA3FTB4K/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BXYCS74H,Reviewed in the United States on February 20 2024,I tried countless headsets and this one is by far the best sounding and best noise cancelation and the battery life is amazing as well. I highly recommend.
RO,5.0,https://www.amazon.com//gp/customer-reviews/R1JGF7APXH3R7A/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BXYCS74H,Reviewed in the United States on February 17 2024,"Everything about these headphones was excellent - outstanding sound, noise cancellation and battery life. However, after using them on an overseas flight, I developed a skin irritation that was initially mild. On my return trip, the irritation was extreme. Since then, I have not been able to use the headphones. I have not had this issue with other headsets in similar situations."
John Barrett,4.0,https://www.amazon.com//gp/customer-reviews/R2S1NMPB1ZIP6U/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0CFSD4TSQ,Reviewed in the United States on February 5 2024,"I upgraded to the WH-1000MX5 from the WH-1000MX2. The newer model is lighter, the ear pads cup the ear better, and the sound is exceptional, but it's not such an improvement from the older model that the reviews would have you believe. The build appears less sturdy than the older model, I really liked the voice responses on the older ones (e.g. ""battery level - High"" etc.) that the new ones seem to have eliminated, and they don't fold into a compact carry case like before. You can customize the sound of the WH-1000MX5 - if you can ever figure out how the Sony App works!! Overall I am satisfied, just not as satisfied as the hype led me to expect!"
Cumplen lo que promete el artículo,Verified,https://www.amazon.com/null,Reviewed in Mexico on December 5 2023,Cumple lo que promete
User93872,2.0,https://www.amazon.com//gp/customer-reviews/RD2KVXH0OUC8W/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09XS7JWHH,Reviewed in the United States on March 23 2024,"Comfortable, but I don't get much sound cancelation no matter what setting I use? I'm not sure if I got a defective pair, user error, or maybe my expectations were too high. Sound quality is good, however that's not what I bought them for."
Ryan O'Bannon,3.0,https://www.amazon.com//gp/customer-reviews/R2KCAUITYLAW28/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09XS7JWHH,Reviewed in the United States on March 19 2024,"After a year of use I'm pretty fed up with constant small connection issues. These have all been present from the start. Maybe 20% of the time the headphones won't automatically pair to my phone or laptop. When they do pair, it takes a couple long seconds to start playing sound. If I walk out of bluetooth range the the sound will stop, and although my devices still show the headphones as connected there's no way to resume playing sound. All the smart features are a usability mess and I turned them off immediately. I want to like these but I can't anymore."
Customer,5.0,https://www.amazon.com//gp/customer-reviews/R1NIN03L7RP264/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09XS7JWHH,Reviewed in the United States on March 18 2024,"The sound quality isn't great compared to wired high-end headphones. The earpads could be more comfortable since they feel sweaty after some use

However I love the convenience of wireless headphones and it is super lightweight. The controls are easy to learn. I'd recommend this"
Kindle Customer,1.0,https://www.amazon.com//gp/customer-reviews/R1XAESLKTONS4I/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09XS7JWHH,Reviewed in the United States on March 14 2024,I would have LOVED these if they had worked. The charge would not work.
Madi Miller,3.0,https://www.amazon.com//gp/customer-reviews/R2SJBA1E79UVWM/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09XS7JWHH,Reviewed in the United States on March 5 2024,"These were really good headphones and they were light weight. However, I am an iPhone user and I don’t know if it’s different for androids but you have to download multiple apps on your phone for some of the features they advertise. One example is the special awareness. They show this feature in the ad for the headphones but you have to download additional apps and make accounts. These apps then sent me a tone of marketing emails and it was a real hassle.
Above all that I couldn’t do many functions on my phone like having it, read my messages, talking to Siri, using voice control to make phone calls or for anything really. Again this may just be how they work with an iPhone but it was not the most user friendly if you were only using it to listen to media from your phone."
Amazon Customer,5.0,https://www.amazon.com//gp/customer-reviews/RGATOSIIEF0BB/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09XS7JWHH,Reviewed in the United States on February 29 2024,"Amazing noise canceling. I like the options it gives you to bounce between ANC and ambient without hitting the small button. (Just cup both ear pieces)
Only wish they were louder. Tried all different equalizers and add ons... but for the general usage great product and battery lasts a long time."
Brian Honsinger,5.0,https://www.amazon.com//gp/customer-reviews/RGNEU12JLZKUW/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09XS7JWHH,Reviewed in the United States on February 23 2024,"Got these at an airport over a year ago and felt guilty spending that much on a pair of headphones. Turned out to be money well spent. I use them heavily every day as I WFH and these are my daily drivers for calls etc. They also travel with me on business trips. They have saved my sanity on long haul flights.
Battery lasts forever and charges fast. Noise isolation is really excellent but the passthrough is even more impressive. You will literally forget you are wearing them, it's that good.
If these are in the budget grab a pair, you won't regret it, I promise. Well done Sony team."
juanda,5.0,https://www.amazon.com//gp/customer-reviews/R1QJX8507A9N25/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09XS7JWHH,Reviewed in the United States on February 22 2024,"I had the airpods max before these and they broke 1 year and 8 months in. Compared to the airpods these are insanely comfy and the quality is most likely the same if not better, plus having an off button is the best thing that's ever happened to me. These are perfect and worth the price!"
FD,3.0,https://www.amazon.com//gp/customer-reviews/R3JVU3MBWGBJ9Z/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09XS7JWHH,Reviewed in the United States on February 16 2024,"This is another great product from Sony. However is over priced.
It has great sound, good noise cancellation and amazing battery life.
The downsides:
Extremely expensive (the performance does not justify the price).
Noise cancellation: if you take the headset off for a seconds, the noise cancellation functions goes away... crazy setting! you need to switch off and on again. Very annoying.
Volume control: Sony decided to play Star Wars and removed the volume at all! same with any other switch that previous headset had... so now you only have a power-on switch, that it is! and to pair and control the volume I have the following word for you: GOOD LUCK!
The volume works with sliding you finger up or down. If you want to pause to tap twice. But hold on there, that you need to tap in the right spot, otherwise does not work (you might find yourself tapping your headset while walking, and it is hard to aim for the same spot!). The same with volume up and down. For some design reasons, the volume works in phases, so if you want to lower fully, you cannot, you are only able to lower bit by bit, repeating the action several times to get to the right volume. It is ridiculous. Takes a hell of a time and keep you busy with the device instead of enjoying your music/sound.
The issue is very similar than the smart watches that has digital (virtual) control over functions, instead of having a wheel that you can operate with your fingers any time, including while wearing gloves. If you have your hand wet or you are on the move, it is basically impossible to operate the device. The mechanical wheel is the answer. The same with this headset: why the hell Sony removed the volume and pairing buttons? I wont buy the next generation of headset if they carry on this way.
The device (headset) has been thought in a engineering environment, by engineers, not users. So it works precisely as the engineers defined, under the perfect conditions BUT life of the user is different. Try to volume up while entering a plane and having to carry your hand suitcase: impossible. Try to pair quickly with your rental car while on the go: impossible. The Sony headsets are a good piece of engineering but has huge challenges. My advise is to buy something alternative and not to spent so huge amount of money for a product that aim to re-invent the headset. Previous Sony headset did the job, was so hard to just improve on the comfort, the battery life and noise cancellation without the need of removing all switches in this new model? Avoid this model or learn to spend more time to try to control it than enjoying your music !"
S,Verified,https://www.amazon.com/null,Reviewed in Australia on February 17 2024,"Not uncommon after researching it specifically. Cant wear these without instant and unbearable irritation, itching, etc. I had no issues with the 1000XM4. Absolutely devastating given the price."
Amazon Customer,Verified,https://www.amazon.com/null,Reviewed in Australia on December 3 2023,"Nearly $500 for ANC that is probably little better than my M3's. Devastated. I'm actually devastated. I could at least read when cricket (and only cricket) was on TV nearby they were enough to make it tolerable. These I've got no chance hence no use case for that outrageous price bracket. I was hoping for an improvement to make my life better as am disabled and stuck at mercy of carers/blaring TV. I updated software, I turned off Ambient, removed it as a button option, did all the troubleshooting they recommended. 99.5% sound blocking is coming from just having new/decent pads. UPDATE: other user correct, there's an issue with right ear, poor Sony. Poor. I put my hand over the right ear to turn off ANC (prior I'd been using the actual button) and that kicked ANC into better gear when I took hand away. Shouldn't have to do that. Also, personally I don't think it was worth the upgrade price at least for me given I'm used to decent already w/the W3's and that price point is agony for a pensioner."
Amazon Customer,Verified,https://www.amazon.com/null,Reviewed in Australia on September 21 2023,"Loved sound quality and product, software for mobile devices seems a bit OTT but otherwise ok"
Anshul J.,Verified,https://www.amazon.com/null,Reviewed in Singapore on July 29 2023,"I had the Bose QC35 II earlier and compared to those, the XM5 has much better ANC and sound quality. It is however a bit bulky and tight on my ears. Tried all sorts of adjustments but not comfortable if I have to wear them for long hours."
PL,Verified,https://www.amazon.com/null,Reviewed in Singapore on February 21 2023,These headphones are wonderful - The best I've ever listened to!
Noah Principe,Verified,https://www.amazon.com/null,Reviewed in Australia on November 28 2022,The very stupidly designed thin headband hurts me noggin
H Chung,1.0,https://www.amazon.com//gp/customer-reviews/R2HFBT5NY69UZ2/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BXYCS74H,Reviewed in the United States on March 27 2024,"New model is trash doesn’t fold doesn’t hold out any noise and is bulkier. Only thing going for it is that it used cheaper lighter material and sounds a bit more clear.

We buy these for keeping our baby’s crying on the airplane. We have both and the old one with deformed foam did better"
AD Shocker,5.0,https://www.amazon.com//gp/customer-reviews/R2AE205B4ME8LW/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BXYCS74H,Reviewed in the United States on March 19 2024,I had these headphones for a few months and they are the best. I love how sleek design and lighweight. The sound quality is amazing as well.
Robabeh Bashiri,5.0,https://www.amazon.com//gp/customer-reviews/R17B5EVEYTLZNE/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BXYCS74H,Reviewed in the United States on March 15 2024,"It is perfect and I use it whole day, everyday……"
Elias Sayegh,5.0,https://www.amazon.com//gp/customer-reviews/R2ECPBZ8ROFEC4/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BXYCS74H,Reviewed in the United States on March 3 2024,I am a big fan of Sony headphones. I previously had the first generation of Sony noise cancellation headphones (Sony WH-1000XM1) and it still works great. I upgraded to this one (Sony WH-1000XM5) and it was a worthy decision. While others might negatively comment on Sony's design change (not foldable) I am perfectly fine with it. I heavily use these headphones at work for meetings and calls and in other places such as coffee shops or during travels in airplanes. I heavily recommend these headphones.
annastacia,5.0,https://www.amazon.com//gp/customer-reviews/R3JL08RUGYJYYD/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BXYCS74H,Reviewed in the United States on February 24 2024,Ive had for months and i love them!
teewhypee,1.0,https://www.amazon.com//gp/customer-reviews/RWSN9ZG31V3JL/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BXYCS74H,Reviewed in the United States on February 23 2024,"These are excellent headphones. (Although to be fair I have no other wireless headphones to compare them with.) I was enamored when I bought them, but 1.5 years later, one of the earcups/swivel hinges just popped out as I was putting them on. Google this and you'll see examples of it. This is caused by really poor structural design, and because of this, I cannot recommend these headphones. You are taking a huge risk by buying them.

NOTE: You might be able to repair this issue yourself with a tiny hose clamp. Google this as well. But you don't want to spend $400 to have to do that."
Brian Honsinger,5.0,https://www.amazon.com//gp/customer-reviews/RGNEU12JLZKUW/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BXYCS74H,Reviewed in the United States on February 23 2024,"Got these at an airport over a year ago and felt guilty spending that much on a pair of headphones. Turned out to be money well spent. I use them heavily every day as I WFH and these are my daily drivers for calls etc. They also travel with me on business trips. They have saved my sanity on long haul flights.
Battery lasts forever and charges fast. Noise isolation is really excellent but the passthrough is even more impressive. You will literally forget you are wearing them, it's that good.
If these are in the budget grab a pair, you won't regret it, I promise. Well done Sony team."
Luis,Verified,https://www.amazon.com/null,Reviewed in Mexico on November 24 2023,"Los compre en 5,700 pesos. Los mejores audífonos que he comprado. Perfecto NC y audio. Son muy ligeros. Comodos y la aplicación es muy facil de usar. Duran bastante tiempo (aproximadamente 30 horas) y se cargan de 0% a 100% en 3 horas. Los controles en los audífonos son facil de usar y muy utiles. Lo único que no me gusto es que el material, obtiene mucho las huellas de tus desos."
Angelica,5.0,https://www.amazon.com//gp/customer-reviews/R3H89XWSA7Q63N/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09XS7JWHH,Reviewed in the United States on March 25 2024,I love this headphones I wear them all the time. I also love the extra features that not all headphones have. I like playing with all the features.
Alejandro,4.0,https://www.amazon.com//gp/customer-reviews/RN9B6V26H0LOD/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09XS7JWHH,Reviewed in the United States on March 23 2024,The sound quality and battery life are amazing!
Jim,5.0,https://www.amazon.com//gp/customer-reviews/R2JAWLXGTW6R54/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09XS7JWHH,Reviewed in the United States on February 27 2024,I had an older noise cancelling device and this one is heads and tails better. I’m super pleased with that end of it and the music quality is excellent for a non audio file like me
GREATT,5.0,https://www.amazon.com//gp/customer-reviews/R1VWM99Q90J0QH/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09XS7JWHH,Reviewed in the United States on February 27 2024,Awesome.
Dclev,5.0,https://www.amazon.com//gp/customer-reviews/R2DR4PZKI8K4BW/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09XS7JWHH,Reviewed in the United States on February 25 2024,Best over ear headphones I’ve ever had. Noise cancelling is amazing. Almost no sound on airplanes.
Zen,3.0,https://www.amazon.com//gp/customer-reviews/R1AFI492PB673E/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09XS7JWHH,Reviewed in the United States on February 24 2024,"I purchased these headphones as I was going to be on flights for about 50+ hours round trip. Two of the flights were 16 hours long each and I had hoped that these headphones will provide the noise cancellation so I can sleep. After reading so many reviews, I was hopeful that they will cancel out almost all of the noise on a plane. However, I found that this was not the case. I was able to hear almost everything like crying babies and people talking loudly, it muffled the sound, but it was still loud enough for me not to be able to sleep. They did drown out most of the plane ambient sound like engine noise. When I used them with earplugs in my ears, they helped cut out most of the sound. So that’s what I did for the plane journey where there were three crying babies around me.

If I listen to music with these headphones on, then they definitely cut out more sound than when I just run the noise cancellation. I had downloaded the app and tried to adjust the settings on that for better performance, but did not notice a big change. I don’t like using earbuds like AirPods, but I find that these are barely any better than my AirPods 2. They are very comfortable though, and I prefer them over the bulky AirPods Max. The sound is also pretty decent, but my main purpose was noise cancellation and it was a bit of letdown.

The battery life is truly phenomenal and lasted my journey of 25+ hours, with just one charge. They get sweaty only after multiple hours of usage, but better than anything else I have owned, these are the only headphones I was able to wear for 6 to 7 hours straight.

I will carry them on any longer plane journey because they are better than anything else I own currently, but for this price I had hoped for even better noise cancellation."
Vinny9151,4.0,https://www.amazon.com//gp/customer-reviews/R16NN9RX85ZWB2/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09XS7JWHH,Reviewed in the United States on February 19 2024,"Bought these to replace my aging Vmoda Crossfade II. Read a ton of reviews and decided to go for it. Out of the box, they sounded ok, but really came alive after messing around with EQ - using the Sony Connect app and/or a 3rd party EQ I've had for years. Very comfortable phones. Good sound imaging , great separation. Bass is punchy and tight after EQ changes; mids are fine and top end is pretty crisp and clear. There is a world of difference in sound between using my S22 Ultra and MacBook. Mac sound is pretty muddy and lacks presence. Using LiveOne on the S22 is 500% better; very clean and clear sonic attack. The Sony app is fine; lots (maybe too many) things to look at and think about. The thing I really don't like is how they feel when I handle them - very plastically - and honestly - kind of cheap feeling. Ear cup cover material seems low grade and a bit thin. And those ear cups - yucky feeling plastic. I would expect a better build quality (more solid feeling materials). Maybe the decision to go with plastic was a cost of design issue, in order tokeepp the price down and remain competitive. However, a product which sounds as good as these deserve better materials. Not sure if I'll keep them - need a few more days to make that decision. Bottom line: you gotta be your own judge, decide what trade offs you are willing to make to get the features you want and the that matter most. Also bought Boweres and Wilkins PX7 2Se. Will body them after trials.

Update: I will be returning the Sony headphones. Although my comment about the plastic earcups still applies, I believe they would hold up as long as one was careful with them. Maybe the feel of the product is not important to you, but design and appearance count for me. Again the sound and features of the Sony is great."
Capri,Verified,https://www.amazon.com/null,Reviewed in Australia on March 26 2024,ANC is best I’ve ever had but microphone pucks up everything except my voice. Way behind competitors.
Stacy Warren,5.0,https://www.amazon.com//gp/customer-reviews/RP8471HGKSN77/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BXYCS74H,Reviewed in the United States on March 26 2024,Been looking for this type of headphones for awhile and these are great
Techguy133,5.0,https://www.amazon.com//gp/customer-reviews/R11JPCME6IUSN9/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BXYCS74H,Reviewed in the United States on March 26 2024,"Listening to music, TV, travel, podcasts."
Taniah Brown,3.0,https://www.amazon.com//gp/customer-reviews/R3CPF6LLJMGBUQ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BXYCS74H,Reviewed in the United States on March 23 2024,"They work really good great noise canceling and everything sound quality is amazing and the Sony app really boosts the listening experience. Downside is they aren't very durable, I bought mine in July last yr and a few weeks ago I go to put them on and they're broken. also be aware that the limited warranty sony provides doesn't cover physical damage which sucks bc its like they know how poorly the product is made and don't want to deal with the consequences."
