reviewerName,stars,reviewTitle,reviewDate,body
Lito,5,A true successor to the XM4,8/28/2023,"I was about to go for the XM4's because of their lower price, but I decided to give this XM5 a shot. It didn't disappoint! FYI to those who don't know, the sound balance of these headphones are different when used wired or wireless. They're more neutral sounding when wired (which is how I wanted them to sound), and they're more bass oriented when wireless. I use this for sound mixing on my PC, and I used it wired most of the time. That's why the big case and the ""no-fold"" mechanism compared to that of an XM4 didn't bother me much. The noise cancellation is even way better than what I've experienced when I tried on my friend's XM4. Ambient mode is not that great, tbh. You're having like a muffled version of reality when on ambient mode. Regardless, the advantages outweigh the disadvantages."
Erica,5,Buy it!!!!,12/15/2023,I brought it as a gift for my boyfriend. He has a moving company. So I wanted to buy some nice headphones to listen to music and talk on the phone hands free. Sony has always been top of the line and still is. I highly recommend
Michelle,5,Excellent sounding headphones.,9/26/2023,"The sound quality is excellent. The ability to change the sound to your liking with their equalizer is fantastic. To pause, turn down or up the volume with tapping the earpiece is wonderful."
Steve,5,These > Bose,6/13/2023,"Took these and the Bose 700 noise cancelling headphones for a test drive. Definitely prefer these. The Sony noise cancelling is a notch better and the bass is a notch deeper, which matters to me since I listen to mainly electronic music. They also charge very fast. My USB-C power meter measured 15W, which is as fast as a mobile phone."
JimboInEwa,5,Wow !,6/28/2023,"What a short review title, but that really says it all. It was between Sony and another competitor, and I'm very happy I listened to my friend's opinions as opposed to some online PAID reviewers. I DO NOT get paid or any type of compensation, so this is honest and unbiased. Been doing a lot of air travel lately, and these really make those 8+ hour flights zoom by, and when not enjoying my music the noise cancellation is JUST that. Not sound-dampening, but “how did I get the screaming baby behind me so I'm gonna take a nap now” Noise Cancellation !! So well worth the money - why didn't I do this sooner ? Thank You"
Victor,5,Enjoyable Headphones,3/15/2024,Superlative sound and convenient features for using these headphones in varied environments.
Gerard0312,5,Excellent Headphones!,1/22/2024,"I do notice that these headphones make the music more ""live"" so to speak. The head tracking works very well and is rather seemless with head turning."
Oscar350,3,Sounds great but,11/29/2023,Great sounding headphones but not the greatest for working out. Headphones get very warm and your ears sweat
Steve44Bd,5,Exceptional capabilities,7/5/2023,The ability to mute with your right hand or simply by speaking is really helpful. I also like skipping songs by forward swiping. Sound quality is leader in the industry.
Cigar guy,5,Fabulous headphones,7/12/2023,"Bought these for a trip to Alaska, preformed superbly. Great battery life and sound. Case kept everything easy to store in my carry on and protected them. Now my wife wants them for a trip she is taking."
Baby.2018,5,Great sound,10/4/2022,[This review was collected as part of a promotion.] First off it came very well package these are really unique and comfortable headphones say it is noise canceling which you're being able to listen to your music even better use for Apple iPhone and iPod it's really great it's very well put together these would make awesome gifts for birthdays holidays and Christmas is even great for teenage kids or she is off to college it would be really awesome it has a very good value as well and it's really awesome for an older adults case which is really awesome it's 1000 and come see him on a little pouch or bag rather so you don't have to worry about losing them you can always keeping them clean the ear phones are very very countable it even has the chargers with it that you can charge it it has the power button it has the volume button which is really awesome you can even hook it to your computer and listen to music or listen to stories or whatever you need to listen to a good part about it you can put it over your head and you can move the headphones that goes over the ears moves back-and-forth which is really awesome and great it has its own little place did you put it back in and not have to worry about it being broke or being set on and it even has the adapters and everything also inside of it which is amazing these make great gifts for young adults for school for for holidays for anyone that really likes to listen to music even the older generation less listen to music and this will be really awesome specially if you want to listen to something and not worry about other people talking over you and you can't hear your music discounts is that out so you don't hear their noise which is really awesome is very good quality is a great value it was well put together and they are by Sony and Sony is a very good product I recommend this to all family and friends this is really amazing another thing this is amazing they even give you a free trial a 360 reality auto which is really amazing it comes with its own little book it says you had to connect to iPhone audio and different things that you need to connect to which is really awesome this is a really amazing product I recommend this to everyone this is really awesome The performance is really awesome the product is really great design it's really really awesome I recommend this to our family and friends and the value is outstanding in the build of the product it's even more amazing
shalafarky,5,worth every penny,10/25/2022,"Have used for about a month - love the sound, love the fit, and love the user experience. Take a bit of practice to learn the controls, but so well designed! Especially love the quick attention mode - I put my hand over the right ear cup and music pauses and noise cancellation stops... until you remove your hand."
TiRB,5,Awesome Headphones,10/18/2022,"I purchased a month ago to replace another brand of headphones as I prepared for a business trip to Europe. These are comfortable to wear for many hours, audio is excellent, easy to use and customize via the app. They block out sound very well, the case they are packed in is a bit bigger then previous headphones I have used"
BMCc,3,Wanted to like it but…,10/22/2022,"I bought these mainly for sure travel. So the ANC and comfort were really important. Neither were s expected. The head band became uncomfortable an hour into a three hour flight and the ANC didn’t worked about as well as my apple AirPod pros. Muffled the airplane noise a bit, but not to the level I expected. I have a pair of 8 year old Sonys that work better. Needs adjustable ANC. Returned the head phones to place of purchase."
jtgowen77,5,Love these headphones!!!,10/27/2022,"I bought these a month ago and they are without a doubt the best headphones that I have ever owned!! From the sleek look to the cushion ear pieces, these are just great. The quick charge feature is awesome for when I forget to charge it. Only a few minutes gets you to 50% charge or more. The noise canceling is top notch. I can not recommend this enough!! Thank you Sony!!"
Clutch 55,5,Absolutely Excellent,8/31/2022,"The XM5’s are the best headphones I’ve tried for full sound and tunability. Highs are just right, miss are smooth, and the bass is taught and full. Very comfortable to wear also. Previously demoed the air max phones and I choose the XM5’s. Fully satisfied with this product."
conway1308,5,You get what you pay for. I love them.,10/19/2022,"My first real pair of headphones. I bought them for ANC, and I am not disappointed. The implementation of ambient and anc mode switching automatically is surprisingly useful. I didn't think I'd use it, but it's good. My burps activate speak to talk and my soft speech isn't always picked up, but it's still quite good. It works well with my PC with a Bluetooth adapter. Ultimately I hope they last me a long time."
Emmanuelle1000,5,Best Headphones Ever,11/9/2022,I got these a few weeks ago and I love them. I wish everything I own was this good! PROs These fit well. I often wear them for hours at a time with no fatigue at all. The ANC is the best! I can have the noisy blender on in front of me and it doesn't bother me at all. The quality of the music is excellent. The quality of the microphones for phone calls is great. And the battery lasts so long you only have to charge it once a week or so. CONs For some reason I had problems pairing them up with the phone. They were solved without having to resort to CS.
sammyfly,3,"Great sound quality, painful for head",6/9/2023,"I really appreciate the sound quality on these! Unfortunately, the headband starts hurting the top of my head after just one 30-minute meeting. I'm hoping the wider band on the XM4s will be less painful. Also, the ear covers hang too low on my head so they're more on my jaw and neck than my ears."
Jeepfein,4,Great noise cancelling. Sound is muddy!,9/23/2022,"Love the noise cancelling. Best by far. The sound is muddy out-of-the-box, but the eq helps. Very comfortable. Almost forgot they were on my head. The padding could be better on the ear cups however."
Bdb01,5,Slept thru an apartment fire alarm.,9/15/2022,"The ANC is phenomenal, I use these daily for 14+ hours. The mic is crystal clear for meetings. These feel like they were made for for flying. Sound quality is amazing, bass is clear, but does not drown other elements."
JonL1,3,Not as good as the XM4s,9/13/2022,"I found these headphones to be uncomfortable to wear for more than 45 minutes. I thought the XM4s were wearable for several hours. But for comfort, sound and noise cancellation, I prefer the AirPod Max headphones. I returned the XM5s."
JeLo74,5,Best purchase I have made in years.,6/12/2022,I couldn't be happier with the build and sound quality of these headphones. I had reservations about spending that much on headphones but my post purchase regrets went away upon first use. Sony just earned another loyal customer.
KillerCorgi89,5,Awesome Headphones!,2/15/2024,"OK, so I just got them, and only have about 2 hours of use so far, but the sound stage, and noise isolation on these are amazing. Great headphones, I am not an Audiophile by any means, but I am very pleased."
Kloud6,5,Amazing!,10/13/2022,[This review was collected as part of a promotion.] These headphones have exceeded my expectations! These are light and comfortable. Easy to set up by Bluetooth or plugging in. They charge quickly and work so well that my husband had trouble using them to talk to clients because it was weird hearing himself. I did accidentally hit the subtle buttons a few times and the matte finish show fingerprints easier then I'd like but over these are amazing! My mom's begging to use them on her overseas trip.
smith72,5,"Great Features, but...",7/7/2022,It's a little small for my head and it causes pain on my head where the top part rests on it after an hour or two
qirqs,5,Amazing sound quality,6/13/2022,The sound quality is amazing & these headphones have to be one of the most comfortable headphones i’ve ever tried.
GregCott,5,A great set of headphones,6/10/2022,I love these. I own the Bose 700 and the Airpods Max. These are better. Lighter. Better sounding. Easier to wear longer.
Pablo the Npc,5,Got 2 for me and a birthday present for a friend,4/6/2023,"I bought the black one back in March and I absolutely loved it. I have the Bose 700 for 2 years but starting to wear down. The Xm5 was the best replacement however one main problem is that it get dirty very easily; fingerprints and sweat. But that just the blacks one. I just ordered the sliver for a birthday present for my friend, I know she will love it."
Chris32,5,Best headphones I have tried,8/22/2022,I bought them since release date are an amazing pair of headphones.
Aaron s,5,The best!!,10/18/2022,[This review was collected as part of a promotion.] Hands down the best headphones I have ever used. I will never buy a different pair of noise canceling headphones. They are comfortable on the ears and fit different shaped heads perfectly. I love the feature that allows you to talk and the music stops and after 15 secs of not talking the music continues! 10/10 recommend!
lauren97,5,Comfort meets Quality,10/7/2022,"[This review was collected as part of a promotion.] These are the most comfortable headphones I've ever worn. They fit over your ears completely, leaving your ears pain free. I also wear glasses and find I can wear these headphones without any pinching or discomfort. The noise cancelling feature is unparalleled, truly drowning out the sound around you. My favorite feature is that they automatically pause your music/podcast/show when you take them off, and resume when you put them back on."
Courtney3636,5,I love these headphones!,10/13/2022,[This review was collected as part of a promotion.] I prefer over the ear headphones compared to ear buds. These headphones are amazing! Noise cancellation is on point. The are so comfortable. They don't pull my hair when I take them off. The sound quality is wonderful. They are cordless so I can put them on when I'm doing the dishes or cleaning. I am very impressed with these headphones. Sony really makes quality products. They hold a challenge well. My husband likes them a lot and he's an ear bud person. 10/10 would recommend
Mike37:7,5,Best headphones,10/9/2022,"[This review was collected as part of a promotion.] These are the best headphones I have ever owned and that's saying a lot, as I've owned plenty! The sound quality is phenomenal, very crisp and clear. Noise cancellation is among the best I've ever experienced. They're also very sleek and not overly bulky on your head. I would highly recommend these to anyone!"
Weswigg,5,Awesome Product,10/4/2022,[This review was collected as part of a promotion.] I got these wireless earphones and they are awesome I like how the ear muffs swivel and I like how well they fit. Perfect fit. The sound quality is great and the noise cancellation is great as well. Will definitely be recommending to everyone to go out and buy
michalk15,5,Awesome,10/11/2022,[This review was collected as part of a promotion.] These are such a great product. the sound that they produce is amazing. They cancel out all the other noise to where you just hear your music or show.
Sound25,5,Great Features with Sound Quality,10/6/2022,"[This review was collected as part of a promotion.] the sound quality is fantastic. I love the touchpad options it makes it so much easier than trying to find the correct button. The sound dampening is amazing, you can't hear anything when this feature is turned on. The only thing I wish was a little better was how loud the volume can go, and the bass in the headphones. Other than that, these are the best set I have owned thus far."
SueAnne,5,Sounds Amazing,10/6/2022,"[This review was collected as part of a promotion.] I received the Sony - WH - 1000xm5 Wireless Noise Cancelling Headphones and they are amazing. The sound quality is far beyond anything I have ever heard, absolutely the best!! I love that they are noise cancelling and wireless. They also came in a really nice zipper case to put them in after using them. I am so very happy with the Sony Wireless Noise Cancelling Headphones. I will definitely tell friends and family how great these Headphones are."
qirqs,5,Amazing sound quality,6/13/2022,The sound quality is amazing & these headphones have to be one of the most comfortable headphones i've ever tried.
Mara,5,Good,3/21/2024,"I like them, noise canceling is good. I got white and the black. The white has a textured material which makes staining more difficult and less visible. However, the black seemed to definitely have better sound quality and more weight to it. I don't know if that was just my mind or if that is actually the case but just thought I'd mention. Definitely would recommend."
Adam,5,great condition,10/15/2023,the headphones came in great shape and my wife loved them.
Jocelyn,1,Disgusting,12/18/2023,This is a gift for someone how can I give this to someone when it's really dirty that's why apple is better.
Gabie101,4,all great but one,3/11/2024,"Everything is good, But one thing. And that every time that I close the door on any car, It bugs up and makes a high pitch noise for a solid second. Other than that, It nice and good condition from packaging"
MediaLover,5,Great Headphones,12/21/2023,"These headphones are good! They rival my Bose. I was looking for something similar but yet different. They're light, sleek looking and the sound is incredible. The noise canceling is phenomenal. I highly recommend. Owner manual made it easy to navigate new location of sound settings."
Femolala,5,Great!!!!,9/7/2022,I absolutely love it...It's the best headphones I've ever gotten.
Carlos_TL322005,5,"Great Performance Super Sound, nice and conftable.",9/19/2023,"I love it, Great sound, the noise cancelling is not the best but it will do, but the quality across the PC, is great! I do have problems to conect with the blutooth on the PC all the time."
BigDaddy72,5,Audio Bliss with Sony WH-1000XM5 Headphones,4/25/2023,"The Sony WH-1000XM5 headphones deliver an exceptional listening experience perfect for music enthusiasts, gamers, and travelers. Their outstanding sound quality features crisp, clear audio and a rich, deep bass that elevates every genre of music. The noise-canceling technology effectively drowns out background noise, allowing users to fully immerse themselves in their audio content without distractions. Comfort is a key strength of the WH-1000XM5 headphones. The generously padded ear cups and adjustable headband ensure a snug, comfortable fit for all head sizes. Their lightweight design allows for extended use without discomfort. The sleek, stylish appearance and foldable design make these headphones a versatile accessory for any outfit, while the premium carrying case provides added protection. The Sony WH-1000XM5 headphones excel in sound quality, noise-canceling, and comfort. If you're seeking a new pair of headphones, the WH-1000XM5 is a top choice that won't disappoint."
livesnd,5,Headphones,6/28/2023,"I am a retired live sound reinforcement engineer. These are the best sounding headphones I have ever owned. They are extremely comfortable and have notable features. You can customize your own EQ setting. The noise cancelling feature is outstanding. Swipe up or down for volume, skip tracks, pause, bass boost and the list go on. Battery life is extraordinary! I cannot think of anything that I dislike about them. I use them when I do my yardwork. I cannot hear any of my lawn tools. Lawn mower or weedeater. I look forward to doing my lawn work. LOL"
Sahil,5,10/10 headphones for the price!,7/27/2023,These headphones are amazing with there ANC and sound quality! Ive always loved the sony line of audio products and the XM5's do not disappoint! I would definitely recommend these if your going into highschool or college and have some money to splurge. Also these are great for traveling with how comfortable they are in cars and planes etc.
Stanash,4,Noise dampening could be better,6/28/2023,"While most things are better than the gen1 of this headset, there are 2 areas that are frustrating. 1) I hear more sounds. The noise canceling for what I hear is not nearly as good as my old gen 1 2) small sounds, like clearing my throat, or taliing, will cause a beep in the headphones, and a loss of sound coming in, until I press a button. This is inconsistent. Sometimes it happens, sometimes not. With that being said, the main reason of getting these was the improvments in noise canceling that OTHERS heard when on calls. This was VASTLY improved, and the main reason for 4 stars."
Erik44,5,Excellent headphones and features,6/29/2023,"I bought this about three months ago, and let me tell you, this is excellent. You can also change the noise characteristics, and it is very good. To let you know, I work in an injection, mold shop. For those of you who don't know what this is, imagine being constantly doing with Measurements over 90 dB. This is the sustained, through eight hours, a day or more. So, you have to have the best in this varmint. If you don't, you can literally get deaf."
RexDoodis,5,Great sound and noise canceling!,7/6/2023,"I have other brand bone conduction headphones for listening to podcasts and other media with just voice. However, I needed headphones with better sound for music and also excellent noise canceling. The WH1000XM5B headphones provide both superb audio quality as well as ""best in the market"" noise canceling. The noise canceling feature also allows amplified passthru of the ambient sound with a press of a button (or temporarily simply by placing a hand over the right earphone). The passthru appears to be accomplished by using microphones in both earphones to pick up the sound from each side, amplify it, and supply it to the headphones. This stereophonic design also provides the ability to hear from which direction the sound is coming from."
mark,5,Great headphones,12/31/2023,"I like these headphones, sound quality is great. The noise cancellation is the best compared to other ones I've tried"
MoMoEsq,5,Sony is the best!,9/19/2023,"I have owned Bose, Sennheiser and obviously Sony. Sony stands out in terms of performance as well as price."
vas1,5,Perfect Sony phones WH1000XM5/B,8/16/2023,"I bought online my Sony phones WH1000xm5/B and very happy while using this priceless gadget! Thank you, Sony, for this great phones!"
matthew,5,"",1/9/2024,great product. fast shipping
Runner123,5,Amazing,10/5/2022,"[This review was collected as part of a promotion.] I am in love with Sony's headphones! These are nothing but exceptional! They came in a case box that is perfect for storing when not in use. And it's easy to store. The blue tooth paring capability is perfection. I was and continue to be able to pair once my bluetooth is on and the headphones are on. It is easy for me to also pair with my peloton and connects seamlessly. Now the noise…stunning! I cannot hear anything around me while I am working, working out or just listening. Perfect when I want to tune out my world and enter another one. They also fit comfortably over my ears and stay put! They are super light weight which I also love! These are better quality than the other leading brands and I will continue to buy this brand! Absolutely in love with these! I can't say it enough."
Mullins,5,Great,10/4/2022,[This review was collected as part of a promotion.] I am so glad I got these Sony - WH-1000XM5 Wireless Noise Canceling Headphones. They are amazing. They were so easy to set up. They are very comfortable to wear. They came in a great case to keep them safe. The noise cancellation works so well too. And the sound quality is top notch. These are the best headphones I have ever used. Definitely my new favorite.
Anonymously Sarah,5,Really nice sound and holds a long charge,10/12/2022,"[This review was collected as part of a promotion.] This is a really nice set of headphones! They feel really nice on my ears and the headband part is easily adjusted. Over time, the headband does start to get sore on my head and I have to adjust it, but this has been the case with all of my headphones. I have a smaller head and they aren't tight enough on my ears to just stay put without the support of the headband. The sound is very nice, with surround sound so that both ears hear different sounds and background noises. The noise-canceling is very good also, although I haven't had the opportunity to give them the ultimate test yet: airplane ride. They definitely cut out any noise around my house and in public. The charge lasts a very long time! I've used them a whole day without them dying. The travel case is very nice and compact, with a little compartment for the cords. It came with a short charging cord and a wired stereo cord but no charging block, which seems to be standard now. One of the really cool features is that it pauses when you lift one ear off your head. So if someone makes a quick comment where you need to hear but not fully remove them, just lift, listen and then put it back down on your ear without missing what you're listening to (I do a lot of audio books). Overall, I'm very happy with these; they're definitely the best headphones I've had!"
David,5,Bought two,11/19/2023,"Fast and easy with no issues, got in 3 days."
masterloggie,5,Great sound and ANC,9/3/2023,Had the headphones for 3 weeks now. Ultra HD with ATMOS is a tantalizing experience.
THANGAMUTHU,1,I did not like the product. The mic quality is bad,10/26/2023,I did not like the product. The mic quality is bad
Chuck,5,Great price.,10/25/2023,"Quick delivery, at a great price."
Shop,4,Good quality. Expensive.,9/27/2023,The noise cancelling works great
Kit Arashi,4,"Great , but comes at a cost",6/29/2022,"I've been looking forward to this product for a while and have had the mx series since mx3s, the line has comes cone a long way but the portability is now kinda a second thought of the device with foldability now isn't an option and the case is a bit bulky compared to its former models. anc is so much better with the upgrade of mics bing 6 instead of 4. and the sound is still amazing as always with the deeper bass then the bose sets that are similar."
Jcorndog,4,Amazing Headphones,2/14/2023,"I needed sound proof headphones for work and I’m glad I bit the bullet and chose Sony. The sound is incredible, the fit is comfortable, the battery life is perfect, and the easy access functions are a dream. I only have one complaint: my greasy fingers leave marks all over the headpiece. I realize I’m a fan of hand creams and soft skin, but I am a bit disappointed how easily my fingers leave grease marks. The design of the headphones are beautiful too, wouldn’t change a thing except maybe the material it’s made from. Something I’ll consider next time"
Palto,5,Awesome,6/11/2022,These headphones blow the AirPod Max headphones out of the water. They’re more comfortable and lighter than the last Sonys in this line-up. They also fixed the connectivity issue where it’s a breeze to connect to a different device. Highly recommended and worth the price.
Zenozmos,4,"Great, but not refined",10/9/2022,"Pros: 1) very light and I can barely feel them 2) sublime sound via analog 3.5mm cord 3) sound cancellation system works pretty well 4) genious buttonless control sensors built in the right headphone 5) good quality of voice recording while speaking on the phone Downsides: 1) sound quality sucks when connected via bluetooth 2) sound is distorted BADLY when there are any microwaves around (when I warmed up some food, my music was randomly sped up for the time when the microwave oven was working) and probably some other active BT devices around 3) the control sensors doesn't work when connected via analog, they play click sounds when I touch the pad, but nothing happens 4) noise cancellation system created ""kick"" sounds when I was travelling in a car at high speed with windows open 5) covers are not deep enough, my ears sometimes hit against the speaker when I open my jaw, which creates a distracting rubbing sound All in all I am pretty satisfied since I got what I was looking for: decent headphones with REALLY decent sound I haven't heard for years which are able to cut me off from pretty much any other sound of the reality around. I was expecting for some low grade behaviour from BT cos they always suck in general, so no surprise there. Sensor control pad is great but must be reworked to be functional at all times. Ear covers could be enlarged too by 20-30%. The rest is as usual - a bit overpriced, a bit glitchy, but does the required job - the Sony style."
Anon,5,"",6/12/2023,The operating instructions are still a mystery to me.
WJS2,5,Work and sound great,10/19/2022,"I compared these headphones to the Apple AirPods Max, and the Sennheiser Momenthum 4 wireless headphones. After several days of evaluating the sound and features i selected the Sony's because I felt the sound quality was the best."
Taylor13t,5,Great sounds,12/4/2022,Have it wireless to my phone to my TV so I can listen even to my game system on the headphones everything sounds so great can’t hear anything going on around me on the outside .I love them.
Jake1996,5,Amazing headphones,6/21/2022,I love these headphone! They are comfortable and sound amazing! I already told my friend who loves listening to music as much as me to pick these up! Great headphones you won’t be disappointed!
Jythin,4,Great sound quality,6/3/2022,"I bought it and sounds good but one issue is the noise cancellation is an average and has no foldable flaps like in xm4. But, superior sound and great features for xm5."
Kylek,5,Amazing,6/3/2022,Bought this a month ago. Works great sounds great. First Sony product and I am pleased.
Tinkerchelle83,5,Noise cancelling at its finest,10/4/2022,"[This review was collected as part of a promotion.] Sony has done it again. I don't think I've ever tried one of their products and been disappointed. These noise canceling headphones provide 30 hours of playback with a quick charge time. The comfortable level is unmatched, soft leather. They have a beautiful carrying case so you can keep your headphones safe and protected. I can't say enough good things. If you are looking for quality then look no further."
Nurselynn123,5,Best Headphones I've Owned!,10/20/2022,"[This review was collected as part of a promotion.] I am BEYOND happy with my new Sony WH-1000XM5 Wireless Noise Cancelling Headphones! The sound quality is absolutely amazing. I listen to many different genres of music- from Rock, Rap, Country, EDM, and more. They all sound fantastic! It offers the perfect mix of sound! When I am not listening to music- I also watch videos and listen to lectures. As an online student, I have to wear headphones hours on end to do my homework, lectures and more. These are by far the most comfortable headphones I have ever owned. I can wear these for 8 hours straight and experience zero discomfort. My old pair of headphones would start to hurt and I would need a break- but these Sony Headphones are so comfortable that I do not have to! I also love the Noise Cancelling Feature. I am a Mom of a 5 year old and when he is playing it can be quite noisy. The Noise cancelling allows me to muffle out some of the surrounding sounds so I can still manage to focus on what I am doing. I am also impressed with the battery life! The batteries last me quite a few hours without needing a charge which is important to me when it comes to doing study sessions. I honestly do not have anything negative thing to say about these headphones."
RPG1217,5,Amazing headphones with unreal noise cancelling!!!,10/7/2022,"[This review was collected as part of a promotion.] I got these in the mail a few days ago and i love love love these headphones! The noise cancelling is crazy, it has button so you can activate it and you cannot hear a thing! It also has other features like shortcuts to spotify and it has a touch pad so you can control the music as well as the music volume. I hope to be able to test more Sony products in the future!!!"
Mandy12,5,Comfort Meets Great Sounds,10/18/2022,"[This review was collected as part of a promotion.] ﻿These Sony wireless noise-canceling headphones deliver the ultimate listening experience. I was really impressed. When I first opened the packaging, attached to the protective zipper case, there was a tag with quick-start instructions and a QR code that took me right to the help guide for the headphones so everything I needed to start using them was at my fingertips. Thank you, Sony. The collapsible protective case that the headphones come in has a place for everything to be kept - cords and headphones. The headphones are extremely comfortable on my ears. Usually, my ears are easily irritated by headphones so I opt for an earbud, but these work well for me. Not only is the sound great for listening to music or movies (I travel a lot so I'm often listening on a train or airplane), but you can make calls as well. They also offer a long-lasting 30-hour battery life paired with quick charging. In just 3 minutes of charging I can get 3 hours' worth of battery life which comes in handy when on the go. I am extremely happy with these wireless headphones. They offer quality sound without sacrificing comfort. Great product!"
Cherylz,5,The Best Sound Quality,10/11/2022,"[This review was collected as part of a promotion.] I was looking for a new headphones when I came across these. Sony has delivered a remarkable product that stands up to the competition out there. I couldn't wait to see how good they are and I wasn't disappointed. They are so lightweight and comfortable that I forgot I had them on. The sound quality is superb. It comes with a nice case to transport them, which comes in handy since they are bulky. Wished it would be foldable for easy storage or to carry around."
PeteofNEPA,5,The best,10/5/2022,[This review was collected as part of a promotion.] These headphones are amazing in every way. Amazing low end mids and crystal clear highs. I would highly recommend to anyone. There by far the best headphones I have ever used. Great quality
Cpm19,4,Work great,10/12/2022,[This review was collected as part of a promotion.] These headphones work just as they should. They are clearly noise canceling as you can't hear anything from the outside of them. The sound is phenomenal. They are comfortable as well.
Clutch 55,5,Absolutely Excellent,8/31/2022,"The XM5's are the best headphones I've tried for full sound and tunability. Highs are just right, miss are smooth, and the bass is taught and full. Very comfortable to wear also. Previously demoed the air max phones and I choose the XM5's. Fully satisfied with this product."
Jake1996,5,Amazing headphones,6/21/2022,I love these headphone! They are comfortable and sound amazing! I already told my friend who loves listening to music as much as me to pick these up! Great headphones you won't be disappointed!
Nikhil,1,"",12/3/2023,Box itself look old product .Didn't liked it
Amanda,1,Terrible experience- DO NOT BUY FROM SELLER,1/27/2024,"0 stars!!! I accidentally purchased this item, going through the checkout process I selected “PayPal” as my method of payment, I figured I would be redirected to the PayPal website as I usually am, nope! Not this time! I was checked out completely. So I immediately contacted the seller to cancel the order and requested cancellation through the app, however, that never happened. I never heard back from the seller either. As soon as I received the product a few days later, I immediately initiated a return and was given a return label from the seller thru Walmart.com. I dropped the package off at a FedEx drop box as directed. The package has never been scanned and I have not received my money back! Over $300 by the way! I have contacted Walmart, FedEx, the seller, you name it! FedEx said the tracking number I was given is not a valid tracking number, therefore it couldn't have been scanned. Walmart is telling me over and over again to contact FedEx! However, Walmart needs to investigate this seller, they are committing fraud and stealing peoples money, like mine! Do not buy from this seller, you will regret it!"
GD,5,Near perfect ANCs,12/9/2023,"Amazing construction, noise, cancelling features and comfort. Use it for work and leisure. The only fly is that the design doesn't allow you to fold it and when you hang it on your next, the air phones are inverted. But otherwise the best sound quality, and function."
VladimirM,4,"Great Headphones, But Hurt My Ears Helixes Badly",8/13/2023,"Absolutely the best quality headphones I ever tried if not for the fact I cannot use them of more than a couple hours at a time. The helix pain becomes unbearable. Called support, they stated no solution from Sony is available. Bought a third-party earopads replacements, but still struggling with the replacement process."
Eve67,3,Noise canceling ain't it,10/15/2023,"I bought my first pair a month or so ago and the noise canceling wasn't good at all, noise kept being filtered in. I couldn't even notice any difference from the noise canceling setting and the ambient setting. They both sounded exactly the same with the outside world being loud. Got them replaced with a newer pair through customer service but they both have the same issue, I'm guessing all of them are like this at this point. They are really comfortable tho at least."
Anon,4,Undoubtedly elevate your auditory experience.,8/22/2023,"The WH-1000XM5 Wireless Industry Leading Noise Canceling Headphones in Midnight Blue are truly exceptional. Their noise-canceling capabilities are nothing short of remarkable, providing an immersive listening experience by blocking out unwanted ambient sounds. The sleek midnight blue color adds a touch of elegance to the design, making them a stylish accessory as well. The sound quality is unparalleled, delivering rich and crisp audio across various genres. Comfort is another strong suit, as these headphones are designed for extended wear without causing discomfort. With intuitive touch controls and seamless connectivity, these headphones are a perfect companion for both work and leisure. Whether you're on a long flight, working in a noisy environment, or simply enjoying your favorite tunes, the WH-1000XM5 headphones will undoubtedly elevate your auditory experience."
Tommy H,5,The Best of The Best,7/29/2023,"I bought these strictly for noise cancelling as my new mower is so loud that my older Sony's couldn't cut it. I was amazed at how effective these are for noise cancellation, and was also very impressed at the clarity of the sound when taking a phone call or listening to music. Pricey? Yes, but I value my hearing above a cheap knockoff."
LJCLARY,5,Headphones 1000,6/28/2023,"Had these quality headphones for about 6 months, the sound is amazing, controls are easy to understand. Connection to Bluetooth source is strong and sound quality for rock, jazz, new age and classical is outstanding. I highly recommend this product."
Cesar,5,Really good!,12/22/2023,Absolutely love the headphones they are just a league of its own the noise cancellation is no joke and so comfortable for long durations.
Caps2345667,5,Exceeded all my expectations,10/16/2023,"I bought this amazing headphones for me like 7 days ago, I'm still surprised by the quality of the sound"
Emile,5,Awesome headphone,12/6/2023,I love the headphone. I think it's better than Ipod max.
Wendy,5,Awesome quality,12/29/2023,Mine weren't damaged or anything. I love the quality too
